cohort_month,dimension,first_value,m,metric,cohort_size,retention
2025-03-01,category,pom hl,0,same,46,100.00%
2025-03-01,category,pom hl,1,any,46,65.22%
2025-03-01,category,pom hl,1,same,46,63.04%
2025-03-01,category,pom hl,2,any,46,58.70%
2025-03-01,category,pom hl,2,same,46,58.70%
2025-03-01,category,pom hl,3,any,46,52.17%
2025-03-01,category,pom hl,3,same,46,52.17%
2025-03-01,category,pom hl,4,any,46,52.17%
2025-03-01,category,pom hl,4,same,46,50.00%
2025-03-01,category,pom hl,5,any,46,13.04%
2025-03-01,category,pom hl,5,same,46,10.87%
2025-03-01,category,pom hl,6,any,46,0.00%
2025-03-01,category,pom hl,6,same,46,0.00%
2025-03-01,category,pom hl,7,any,46,0.00%
2025-03-01,category,pom hl,7,same,46,0.00%
2025-03-01,category,pom hl,8,any,46,0.00%
2025-03-01,category,pom hl,8,same,46,0.00%
2025-03-01,category,pom hl,9,any,46,0.00%
2025-03-01,category,pom hl,9,same,46,0.00%
2025-03-01,category,pom hl,10,any,46,0.00%
2025-03-01,category,pom hl,10,same,46,0.00%
2025-03-01,category,pom hl,11,any,46,0.00%
2025-03-01,category,pom hl,11,same,46,0.00%
2025-03-01,category,pom hl,12,any,46,0.00%
2025-03-01,category,pom hl,12,same,46,0.00%
2025-04-01,category,pom hl,0,any,70,100.00%
2025-04-01,category,pom hl,0,same,70,100.00%
2025-04-01,category,pom hl,1,any,70,44.29%
2025-04-01,category,pom hl,1,same,70,42.86%
2025-04-01,category,pom hl,2,any,70,48.57%
2025-04-01,category,pom hl,2,same,70,47.14%
2025-04-01,category,pom hl,3,any,70,58.57%
2025-04-01,category,pom hl,3,same,70,58.57%
2025-04-01,category,pom hl,4,any,70,14.29%
2025-04-01,category,pom hl,4,same,70,12.86%
2025-04-01,category,pom hl,5,any,70,0.00%
2025-04-01,category,pom hl,5,same,70,0.00%
2025-04-01,category,pom hl,6,any,70,0.00%
2025-04-01,category,pom hl,6,same,70,0.00%
2025-04-01,category,pom hl,7,any,70,0.00%
2025-04-01,category,pom hl,7,same,70,0.00%
2025-04-01,category,pom hl,8,any,70,0.00%
2025-04-01,category,pom hl,8,same,70,0.00%
2025-04-01,category,pom hl,9,any,70,0.00%
2025-04-01,category,pom hl,9,same,70,0.00%
2025-04-01,category,pom hl,10,any,70,0.00%
2025-04-01,category,pom hl,10,same,70,0.00%
2025-04-01,category,pom hl,11,any,70,0.00%
2025-04-01,category,pom hl,11,same,70,0.00%
2025-04-01,category,pom hl,12,any,70,0.00%
2025-04-01,category,pom hl,12,same,70,0.00%
2025-05-01,category,pom hl,0,any,46,100.00%
2025-05-01,category,pom hl,0,same,46,100.00%
2025-05-01,category,pom hl,1,any,46,60.87%
2025-05-01,category,pom hl,1,same,46,60.87%
2025-05-01,category,pom hl,2,any,46,58.70%
2025-05-01,category,pom hl,2,same,46,58.70%
2025-05-01,category,pom hl,3,any,46,19.57%
2025-05-01,category,pom hl,3,same,46,19.57%
2025-05-01,category,pom hl,4,any,46,0.00%
2025-05-01,category,pom hl,4,same,46,0.00%
2025-05-01,category,pom hl,5,any,46,0.00%
2025-05-01,category,pom hl,5,same,46,0.00%
2025-05-01,category,pom hl,6,any,46,0.00%
2025-05-01,category,pom hl,6,same,46,0.00%
2025-05-01,category,pom hl,7,any,46,0.00%
2025-05-01,category,pom hl,7,same,46,0.00%
2025-05-01,category,pom hl,8,any,46,0.00%
2025-05-01,category,pom hl,8,same,46,0.00%
2025-05-01,category,pom hl,9,any,46,0.00%
2025-05-01,category,pom hl,9,same,46,0.00%
2025-05-01,category,pom hl,10,any,46,0.00%
2025-05-01,category,pom hl,10,same,46,0.00%
2025-05-01,category,pom hl,11,any,46,0.00%
2025-05-01,category,pom hl,11,same,46,0.00%
2025-05-01,category,pom hl,12,any,46,0.00%
2025-05-01,category,pom hl,12,same,46,0.00%
2025-06-01,category,pom hl,0,any,40,100.00%
2025-06-01,category,pom hl,0,same,40,100.00%
2025-06-01,category,pom hl,1,any,40,57.50%
2025-06-01,category,pom hl,1,same,40,57.50%
2025-06-01,category,pom hl,2,any,40,12.50%
2025-06-01,category,pom hl,2,same,40,12.50%
2025-06-01,category,pom hl,3,any,40,0.00%
2025-06-01,category,pom hl,3,same,40,0.00%
