cohort_type,cohort_month,dimension,first_value,m,metric,measure,cohort_size,ltv_per_user
purchase,2025-01-01,category,otc sk,12,same,revenue,2,
purchase,2025-03-01,category,otc sk,0,any,revenue,1,679
purchase,2025-03-01,category,otc sk,1,any,revenue,1,1029
purchase,2025-03-01,category,otc sk,2,any,revenue,1,1379
purchase,2025-03-01,category,otc sk,3,any,revenue,1,1729
purchase,2025-03-01,category,otc sk,4,any,revenue,1,1729
purchase,2025-03-01,category,otc sk,5,any,revenue,1,1729
purchase,2025-03-01,category,otc sk,6,any,revenue,1,
purchase,2025-03-01,category,otc sk,7,any,revenue,1,
purchase,2025-03-01,category,otc sk,8,any,revenue,1,
purchase,2025-03-01,category,otc sk,9,any,revenue,1,
purchase,2025-03-01,category,otc sk,10,any,revenue,1,
purchase,2025-03-01,category,otc sk,11,any,revenue,1,
purchase,2025-03-01,category,otc sk,12,any,revenue,1,
purchase,2025-03-01,category,otc sk,0,same,revenue,1,329
purchase,2025-03-01,category,otc sk,1,same,revenue,1,329
purchase,2025-03-01,category,otc sk,2,same,revenue,1,329
purchase,2025-03-01,category,otc sk,3,same,revenue,1,329
purchase,2025-03-01,category,otc sk,4,same,revenue,1,329
purchase,2025-03-01,category,otc sk,5,same,revenue,1,329
purchase,2025-03-01,category,otc sk,6,same,revenue,1,
purchase,2025-03-01,category,otc sk,7,same,revenue,1,
purchase,2025-03-01,category,otc sk,8,same,revenue,1,
purchase,2025-03-01,category,otc sk,9,same,revenue,1,
purchase,2025-03-01,category,otc sk,10,same,revenue,1,
purchase,2025-03-01,category,otc sk,11,same,revenue,1,
purchase,2025-03-01,category,otc sk,12,same,revenue,1,
purchase,2025-06-01,category,otc sk,0,any,revenue,1,289
purchase,2025-06-01,category,otc sk,1,any,revenue,1,289
purchase,2025-06-01,category,otc sk,2,any,revenue,1,289
purchase,2025-06-01,category,otc sk,3,any,revenue,1,
purchase,2025-06-01,category,otc sk,4,any,revenue,1,
purchase,2025-06-01,category,otc sk,5,any,revenue,1,
purchase,2025-06-01,category,otc sk,6,any,revenue,1,
purchase,2025-06-01,category,otc sk,7,any,revenue,1,
purchase,2025-06-01,category,otc sk,8,any,revenue,1,
purchase,2025-06-01,category,otc sk,9,any,revenue,1,
purchase,2025-06-01,category,otc sk,10,any,revenue,1,
purchase,2025-06-01,category,otc sk,11,any,revenue,1,
purchase,2025-06-01,category,otc sk,12,any,revenue,1,
purchase,2025-06-01,category,otc sk,0,same,revenue,1,289
purchase,2025-06-01,category,otc sk,1,same,revenue,1,289
purchase,2025-06-01,category,otc sk,2,same,revenue,1,289
purchase,2025-06-01,category,otc sk,3,same,revenue,1,
purchase,2025-06-01,category,otc sk,4,same,revenue,1,
purchase,2025-06-01,category,otc sk,5,same,revenue,1,
purchase,2025-06-01,category,otc sk,6,same,revenue,1,
purchase,2025-06-01,category,otc sk,7,same,revenue,1,
purchase,2025-06-01,category,otc sk,8,same,revenue,1,
purchase,2025-06-01,category,otc sk,9,same,revenue,1,
purchase,2025-06-01,category,otc sk,10,same,revenue,1,
purchase,2025-06-01,category,otc sk,11,same,revenue,1,
purchase,2025-06-01,category,otc sk,12,same,revenue,1,
purchase,2025-07-01,category,otc sk,0,any,revenue,1,336.1
purchase,2025-07-01,category,otc sk,1,any,revenue,1,336.1
purchase,2025-07-01,category,otc sk,2,any,revenue,1,
purchase,2025-07-01,category,otc sk,3,any,revenue,1,
purchase,2025-07-01,category,otc sk,4,any,revenue,1,
purchase,2025-07-01,category,otc sk,5,any,revenue,1,
purchase,2025-07-01,category,otc sk,6,any,revenue,1,
purchase,2025-07-01,category,otc sk,7,any,revenue,1,
purchase,2025-07-01,category,otc sk,8,any,revenue,1,
purchase,2025-07-01,category,otc sk,9,any,revenue,1,
purchase,2025-07-01,category,otc sk,10,any,revenue,1,
purchase,2025-07-01,category,otc sk,11,any,revenue,1,
purchase,2025-07-01,category,otc sk,12,any,revenue,1,
purchase,2025-07-01,category,otc sk,0,same,revenue,1,336.1
purchase,2025-07-01,category,otc sk,1,same,revenue,1,336.1
purchase,2025-07-01,category,otc sk,2,same,revenue,1,
purchase,2025-07-01,category,otc sk,3,same,revenue,1,
purchase,2025-07-01,category,otc sk,4,same,revenue,1,
purchase,2025-07-01,category,otc sk,5,same,revenue,1,
purchase,2025-07-01,category,otc sk,6,same,revenue,1,
purchase,2025-07-01,category,otc sk,7,same,revenue,1,
purchase,2025-07-01,category,otc sk,8,same,revenue,1,
purchase,2025-07-01,category,otc sk,9,same,revenue,1,
purchase,2025-07-01,category,otc sk,10,same,revenue,1,
purchase,2025-07-01,category,otc sk,11,same,revenue,1,
purchase,2025-07-01,category,otc sk,12,same,revenue,1,
purchase,2025-04-01,category,pom bg,0,any,revenue,1,689
purchase,2025-04-01,category,pom bg,1,any,revenue,1,1038
purchase,2025-04-01,category,pom bg,2,any,revenue,1,1387
purchase,2025-04-01,category,pom bg,3,any,revenue,1,1736
purchase,2025-04-01,category,pom bg,4,any,revenue,1,1736
purchase,2025-04-01,category,pom bg,5,any,revenue,1,
purchase,2025-04-01,category,pom bg,6,any,revenue,1,
purchase,2025-04-01,category,pom bg,7,any,revenue,1,
purchase,2025-04-01,category,pom bg,8,any,revenue,1,
purchase,2025-04-01,category,pom bg,9,any,revenue,1,
purchase,2025-04-01,category,pom bg,10,any,revenue,1,
purchase,2025-04-01,category,pom bg,11,any,revenue,1,
purchase,2025-04-01,category,pom bg,12,any,revenue,1,
purchase,2025-04-01,category,pom bg,0,same,revenue,1,340
purchase,2025-04-01,category,pom bg,1,same,revenue,1,340
purchase,2025-04-01,category,pom bg,2,same,revenue,1,340
purchase,2025-04-01,category,pom bg,3,same,revenue,1,340
purchase,2025-04-01,category,pom bg,4,same,revenue,1,340
purchase,2025-04-01,category,pom bg,5,same,revenue,1,
purchase,2025-04-01,category,pom bg,6,same,revenue,1,
purchase,2025-04-01,category,pom bg,7,same,revenue,1,
purchase,2025-04-01,category,pom bg,8,same,revenue,1,
purchase,2025-04-01,category,pom bg,9,same,revenue,1,
purchase,2025-04-01,category,pom bg,10,same,revenue,1,
purchase,2025-04-01,category,pom bg,11,same,revenue,1,
purchase,2025-04-01,category,pom bg,12,same,revenue,1,
purchase,2025-05-01,category,pom bg,0,any,revenue,2,319
purchase,2025-05-01,category,pom bg,1,any,revenue,2,319
purchase,2025-05-01,category,pom bg,2,any,revenue,2,319
purchase,2025-05-01,category,pom bg,3,any,revenue,2,319
purchase,2025-05-01,category,pom bg,4,any,revenue,2,
purchase,2025-05-01,category,pom bg,5,any,revenue,2,
purchase,2025-05-01,category,pom bg,6,any,revenue,2,
purchase,2025-05-01,category,pom bg,7,any,revenue,2,
purchase,2025-05-01,category,pom bg,8,any,revenue,2,
purchase,2025-05-01,category,pom bg,9,any,revenue,2,
purchase,2025-05-01,category,pom bg,10,any,revenue,2,
purchase,2025-05-01,category,pom bg,11,any,revenue,2,
purchase,2025-05-01,category,pom bg,12,any,revenue,2,
purchase,2025-05-01,category,pom bg,0,same,revenue,2,319
purchase,2025-05-01,category,pom bg,1,same,revenue,2,319
purchase,2025-05-01,category,pom bg,2,same,revenue,2,319
purchase,2025-05-01,category,pom bg,3,same,revenue,2,319
purchase,2025-05-01,category,pom bg,4,same,revenue,2,
purchase,2025-05-01,category,pom bg,5,same,revenue,2,
purchase,2025-05-01,category,pom bg,6,same,revenue,2,
purchase,2025-05-01,category,pom bg,7,same,revenue,2,
purchase,2025-05-01,category,pom bg,8,same,revenue,2,
purchase,2025-05-01,category,pom bg,9,same,revenue,2,
purchase,2025-05-01,category,pom bg,10,same,revenue,2,
purchase,2025-05-01,category,pom bg,11,same,revenue,2,
purchase,2025-05-01,category,pom bg,12,same,revenue,2,
purchase,2025-06-01,category,pom bg,0,any,revenue,1,319
purchase,2025-06-01,category,pom bg,1,any,revenue,1,319
purchase,2025-06-01,category,pom bg,2,any,revenue,1,319
purchase,2025-06-01,category,pom bg,3,any,revenue,1,
purchase,2025-06-01,category,pom bg,4,any,revenue,1,
purchase,2025-06-01,category,pom bg,5,any,revenue,1,
purchase,2025-06-01,category,pom bg,6,any,revenue,1,
purchase,2025-06-01,category,pom bg,7,any,revenue,1,
purchase,2025-06-01,category,pom bg,8,any,revenue,1,
purchase,2025-06-01,category,pom bg,9,any,revenue,1,
purchase,2025-06-01,category,pom bg,10,any,revenue,1,
purchase,2025-06-01,category,pom bg,11,any,revenue,1,
purchase,2025-06-01,category,pom bg,12,any,revenue,1,
purchase,2025-06-01,category,pom bg,0,same,revenue,1,319
purchase,2025-06-01,category,pom bg,1,same,revenue,1,319
purchase,2025-06-01,category,pom bg,2,same,revenue,1,319
purchase,2025-06-01,category,pom bg,3,same,revenue,1,
purchase,2025-06-01,category,pom bg,4,same,revenue,1,
purchase,2025-06-01,category,pom bg,5,same,revenue,1,
purchase,2025-06-01,category,pom bg,6,same,revenue,1,
purchase,2025-06-01,category,pom bg,7,same,revenue,1,
